timestamp	light	rgb	motion	temp	press
2019-03-29T12:21:29.485097	412.000000	85,95,76	0.0208740234375,-0.0284423828125,1.03155517578125	34.746612	83237.586381
2019-03-29T12:21:30.506237	413.000000	85,95,76	0.0208740234375,-0.03179931640625,1.05126953125	34.749382	83237.466795
2019-03-29T12:21:31.527403	412.000000	85,95,76	0.02520751953125,-0.02410888671875,1.0355224609375	34.753075	83237.470239
2019-03-29T12:21:32.548553	412.000000	85,95,76	0.02789306640625,-0.03228759765625,1.0419921875	34.757383	83237.354079
2019-03-29T12:21:33.569667	414.000000	85,95,76	0.02239990234375,-0.02777099609375,1.04327392578125	34.763846	83237.276630
2019-03-29T12:21:34.590817	412.000000	85,95,76	0.02801513671875,-0.0291748046875,1.04412841796875	34.766615	83237.319924
2019-03-29T12:21:35.611999	412.000000	85,95,76	0.02398681640625,-0.0301513671875,1.04486083984375	34.768462	83237.240184
2019-03-29T12:21:36.633139	412.000000	85,95,76	0.02325439453125,-0.02972412109375,1.04144287109375	34.769385	83237.037411
2019-03-29T12:21:37.654274	412.000000	85,95,76	0.02294921875,-0.02996826171875,1.0411376953125	34.770616	83236.875648
2019-03-29T12:21:38.675439	412.000000	85,95,76	0.0203857421875,-0.02923583984375,1.04168701171875	34.771847	83237.202592
2019-03-29T12:21:39.696585	410.000000	85,95,76	0.02337646484375,-0.02960205078125,1.04046630859375	34.772462	83237.121710
2019-03-29T12:21:40.717682	410.000000	85,95,76	0.0234375,-0.031494140625,1.0406494140625	34.774001	83237.000955
2019-03-29T12:21:41.738867	409.000000	85,95,76	0.02178955078125,-0.0289306640625,1.041748046875	34.776155	83236.962218
2019-03-29T12:21:42.760008	409.000000	85,95,76	0.02264404296875,-0.02984619140625,1.04052734375	34.777386	83236.963355
2019-03-29T12:21:43.781128	409.000000	85,95,76	0.021240234375,-0.01678466796875,1.02398681640625	34.775847	83236.758304
2019-03-29T12:21:44.802321	409.000000	85,95,76	0.02203369140625,-0.0294189453125,1.04510498046875	34.774001	83236.838051
2019-03-29T12:21:45.823457	410.000000	85,95,76	0.02197265625,-0.02691650390625,1.04315185546875	34.772462	83236.958807
2019-03-29T12:21:46.844628	411.000000	85,95,76	0.02655029296875,-0.02911376953125,1.034912109375	34.772154	83236.917796
2019-03-29T12:21:47.865747	410.000000	85,95,76	0.017578125,-0.02740478515625,1.03485107421875	34.771847	83236.876786
2019-03-29T12:21:48.886898	410.000000	85,95,76	0.01885986328125,-0.03076171875,1.04656982421875	34.772770	83236.836914
2019-03-29T12:21:49.908027	410.000000	85,95,76	0.02264404296875,-0.0316162109375,1.041748046875	34.775232	83236.839188
2019-03-29T12:21:50.929163	409.000000	85,95,76	0.02191162109375,-0.02923583984375,1.04266357421875	34.778617	83236.638680
2019-03-29T12:21:51.950287	400.000000	84,94,77	0.02362060546875,-0.0281982421875,1.04425048828125	34.780771	83236.925750
2019-03-29T12:21:52.971424	411.000000	85,95,76	0.0224609375,-0.030029296875,1.0416259765625	34.782617	83236.683092
2019-03-29T12:21:53.992538	405.000000	85,95,76	0.02239990234375,-0.02874755859375,1.04254150390625	34.783848	83236.847131
2019-03-29T12:21:55.013692	401.000000	85,95,76	0.0216064453125,-0.03045654296875,1.042236328125	34.783848	83236.847131
2019-03-29T12:21:56.034814	401.000000	85,95,76	0.02227783203125,-0.02935791015625,1.042236328125	34.783541	83236.806122
2019-03-29T12:21:57.056012	400.000000	84,94,77	0.0234375,-0.02978515625,1.05328369140625	34.782002	83236.763979
2019-03-29T12:21:58.077150	399.000000	85,95,77	0.0234375,-0.0264892578125,1.0479736328125	34.782925	83236.235384
2019-03-29T12:21:59.098299	400.000000	85,95,77	0.03057861328125,-0.0335693359375,1.04168701171875	34.785387	83236.237647
2019-03-29T12:22:00.119798	402.000000	85,95,77	0.0181884765625,-0.02587890625,1.0452880859375	34.787849	83236.077002
2019-03-29T12:22:01.140954	401.000000	85,95,76	0.02197265625,-0.02923583984375,1.0631103515625	34.790003	83236.364067
2019-03-29T12:22:02.162083	401.000000	85,95,76	0.0213623046875,-0.0263671875,1.03741455078125	34.792157	83236.325315
2019-03-29T12:22:03.183193	411.000000	85,95,76	0.0194091796875,-0.03045654296875,1.0496826171875	34.794619	83236.327571
2019-03-29T12:22:04.204326	412.000000	85,95,76	0.02276611328125,-0.02874755859375,1.04217529296875	34.796466	83236.247807
2019-03-29T12:22:05.225474	408.000000	85,95,76	0.02069091796875,-0.02862548828125,1.03961181640625	34.798620	83236.371960
2019-03-29T12:22:06.246632	403.000000	84,95,77	0.02349853515625,-0.0296630859375,1.04217529296875	34.801082	83236.211300
2019-03-29T12:22:07.267765	401.000000	85,95,76	0.02105712890625,-0.0294189453125,1.0430908203125	34.803851	83236.417468
2019-03-29T12:22:08.288952	402.000000	85,95,77	0.0234375,-0.03045654296875,1.04229736328125	34.806929	83236.175908
2019-03-29T12:22:09.310094	401.000000	85,95,76	0.02215576171875,-0.0308837890625,1.0430908203125	34.810314	83236.138263
2019-03-29T12:22:10.331178	400.000000	85,95,77	0.02166748046875,-0.03094482421875,1.03448486328125	34.813699	83236.100614
2019-03-29T12:22:11.352372	400.000000	84,94,77	0.023193359375,-0.0299072265625,1.0347900390625	34.817392	83236.103968
2019-03-29T12:22:12.373505	400.000000	84,94,77	0.0189208984375,-0.029296875,1.0416259765625	34.820469	83236.025302
2019-03-29T12:22:13.394636	402.000000	85,95,77	0.02166748046875,-0.0267333984375,1.03173828125	34.822931	83236.027533
2019-03-29T12:22:14.415805	408.000000	85,95,76	0.01800537109375,-0.027587890625,1.05084228515625	34.823854	83235.987640
2019-03-29T12:22:15.437006	410.000000	85,95,76	0.0230712890625,-0.0286865234375,1.02703857421875	34.822623	83235.986525
2019-03-29T12:22:16.458165	404.000000	85,95,77	0.022705078125,-0.02880859375,1.0372314453125	34.820777	83236.066310
2019-03-29T12:22:17.479304	402.000000	85,95,76	0.023193359375,-0.028564453125,1.04351806640625	34.818623	83236.105085
2019-03-29T12:22:18.500426	402.000000	85,95,76	0.02099609375,-0.029541015625,1.04150390625	34.816468	83235.980944
2019-03-29T12:22:19.521576	400.000000	85,95,77	0.02227783203125,-0.02490234375,1.044921875	34.815237	83235.979826
2019-03-29T12:22:20.542697	409.000000	85,95,76	0.02105712890625,-0.03131103515625,1.04107666015625	34.813699	83235.774786
2019-03-29T12:22:21.563861	411.000000	85,95,76	0.0228271484375,-0.0302734375,1.04193115234375	34.812468	83235.773667
2019-03-29T12:22:22.584996	410.000000	85,95,76	0.0233154296875,-0.0294189453125,1.04248046875	34.810314	83235.649524
2019-03-29T12:22:23.606135	410.000000	85,95,76	0.0218505859375,-0.02880859375,1.0430908203125	34.810006	83235.771429
2019-03-29T12:22:24.627219	410.000000	85,95,76	0.02252197265625,-0.029541015625,1.0367431640625	34.808775	83235.607396
2019-03-29T12:22:25.648376	410.000000	85,95,76	0.02264404296875,-0.0291748046875,1.018310546875	34.808775	83235.607396
2019-03-29T12:22:26.669516	412.000000	85,95,76	0.01611328125,-0.02490234375,1.04156494140625	34.808467	83235.403475
